work_unit,package_count,supplier_count,total_contract_value,hhi_supplier_package_count,hhi_supplier_value
SUKU DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 1.04.0.00.0.00.01.0006,7,5,5656642200.0,0.265306,0.456267
SUKU DINAS KESEHATAN KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 1.02.0.00.0.00.01.0006,6,6,12745255835.0,0.166667,0.388997
SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA - 2.11.0.00.0.00.01.0002,6,5,1348340100.0,0.222222,0.214268
UNIT PENANGANAN SAMPAH BADAN AIR - 2.11.0.00.0.00.01.0010,6,5,16734410630.0,0.222222,0.394632
BADAN PEMBINAAN BADAN USAHA MILIK DAERAH - 5.02.0.00.0.00.05.0000,5,3,9825099455.0,0.36,0.399769
DINAS PARIWISATA DAN EKONOMI KREATIF - 3.26.0.00.0.00.01.0000,5,5,21424210289.0,0.2,0.224486
DINAS PERTAMANAN DAN HUTAN KOTA - 3.28.0.00.0.00.01.0000,5,5,1894690080.0,0.2,0.302645
PUSAT PELATIHAN KERJA KHUSUS PENGEMBANGAN LAS - 2.07.3.32.3.29.01.0012,5,5,30744100245.0,0.2,0.852054
"SUKU DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN KOTA ADMINISTRASI JAKARTA TIMUR - 1.03.0.00.0.00.03.0005",5,5,8215578280.0,0.2,0.342681
SUKU DINAS KESEHATAN KOTA ADMINISTRASI JAKARTA UTARA - 1.02.0.00.0.00.01.0002,5,5,61443571260.0,0.2,0.461179
SUKU DINAS PARIWISATA DAN EKONOMI KREATIF KABUPATEN - KEP. SERIBU - 3.26.0.00.0.00.01.0006,5,3,7119869400.0,0.36,0.35949
SUKU DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN KOTA ADMINISTRASI JAKARTA SELATAN - 1.05.0.00.0.00.02.0005,5,4,8532774172.0,0.28,0.434811
SUKU DINAS SUMBER DAYA AIR KOTA ADMINISTRASI JAKARTA UTARA - 1.03.0.00.0.00.02.0002,5,3,2613441100.0,0.44,0.432848
RUMAH SAKIT KHUSUS DAERAH DUREN SAWIT - 1.02.0.00.0.00.01.0062,4,4,26215409659.0,0.25,0.686846
SUKU BADAN PENGELOLAAN ASET DAERAH KOTA - JAKSEL - 5.02.0.00.0.00.02.0004,4,4,1658034750.0,0.25,0.266088
"SUKU DINAS PERINDUSTRIAN, PERDAGANGAN, KOPERASI, USAHA KECIL DAN MENENGAH KOTA - JAKBAR - 3.31.3.30.2.17.01.0003",4,4,19953626571.0,0.25,0.343591
SUKU DINAS SOSIAL KOTA ADMINISTRASI JAKARTA SELATAN - 1.06.0.00.0.00.01.0004,4,4,3530310303.0,0.25,0.435218
SUKU DINAS SOSIAL KOTA ADMINISTRASI JAKARTA UTARA - 1.06.0.00.0.00.01.0002,4,3,1545163200.0,0.375,0.521798
BADAN PERENCANAAN PEMBANGUNAN DAERAH - 5.01.0.00.0.00.01.0000,3,3,11485615977.0,0.333333,0.847823
BIRO PENDIDIKAN DAN MENTAL SPIRITUAL - 4.01.0.00.0.00.01.0005,3,3,3673129175.0,0.333333,0.33494
BIRO UMUM DAN ADMINISTRASI SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0007,3,3,3936707993.0,0.333333,0.526567
KOTA ADMINISTRASI JAKARTA SELATAN - 7.01.0.00.0.00.04.0000,3,3,28007315400.0,0.333333,0.954948
SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT - 2.11.0.00.0.00.01.0003,3,3,11641436720.0,0.333333,0.353781
SUKU DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN KOTA ADMINISTRASI JAKARTA BARAT - 1.05.0.00.0.00.02.0003,3,3,6756696060.0,0.333333,0.471754
SUKU DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN KOTA ADMINISTRASI JAKARTA UTARA - 1.05.0.00.0.00.02.0002,3,3,6229209250.0,0.333333,0.869326
UNIT PENGELOLA JAKARTA ASSET MANAGEMENT CENTRE - 5.02.0.00.0.00.02.0010,3,2,3709436850.0,0.555556,0.798519
UNIT PENGELOLA MUSEUM SENI - 2.22.0.00.0.00.01.0009,3,3,3951192000.0,0.333333,0.372953
UNIT PENGELOLA SISTEM PENGENDALIAN LALU LINTAS - 2.15.0.00.0.00.01.0008,3,3,3559534236.0,0.333333,0.333564
UNIT PENGELOLA TERMINAL ANGKUTAN JALAN - 2.15.0.00.0.00.01.0006,3,2,1286878500.0,0.555556,0.516901
UNIT PENYELENGGARA PELABUHAN DAERAH - 2.15.0.00.0.00.01.0023,3,2,36762042911.0,0.555556,0.935906
"DINAS KETAHANAN PANGAN, KELAUTAN DAN PERTANIAN - 2.09.3.25.3.27.01.0000",2,2,2433365804.0,0.5,0.760457
