package_id,year,supplier_name,work_unit,procurement_method,procurement_type,is_partial_snapshot_year,split,baseline_score,baseline_rank,top_feature_1,top_feature_1_contribution,top_feature_2,top_feature_2_contribution,top_feature_3,top_feature_3_contribution
10098454000,2026,Satrio Ramadanto,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0007",Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.76389950349,631,hps_to_pagu_ratio,6.10647822162,procurement_type_code,3,tender_duration_days,2.09841569617
59796127,2024,CV. CHARLES MARPA PRIMA,DINAS SOSIAL - 1.06.0.00.0.00.01.0000,Tender,Pekerjaan Konstruksi,false,train,2.76134471049,632,procurement_type_code,5,hps_to_pagu_ratio,3.95411079572,log_contract_value,1.67407479075
59762127,2024,PT.ANGGADITA TEGUH PUTRA,"DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0000",Tender,Pekerjaan Konstruksi,false,train,2.75304265135,633,procurement_type_code,5,log_contract_value,2.23253528946,log_hps,2.21587135914
10019960000,2025,PT TAMBUN JAYA PERSADA,SUKU DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN KOTA ADMINISTRASI JAKARTA UTARA - 1.05.0.00.0.00.02.0002,Tender,Pekerjaan Konstruksi,false,train,2.74940981678,634,procurement_type_code,5,evaluation_duration_days,2.41840877837,bid_submission_duration_days,2.11411530543
10019441000,2025,PT. POLAWES RAYA,KOTA ADMINISTRASI JAKARTA PUSAT - 7.01.0.00.0.00.01.0000,Tender,Pekerjaan Konstruksi,false,train,2.74868686164,635,procurement_type_code,5,log_contract_value,2.32872995818,log_hps,2.25870898899
10098426000,2026,Lubna Mahdania,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0007",Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.74754385147,636,hps_to_pagu_ratio,6.10647822162,procurement_type_code,3,tender_duration_days,2.10453352618
10098424000,2026,Satrio Wisnu Wardono,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0007",Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.74752895382,637,hps_to_pagu_ratio,6.10647822162,procurement_type_code,3,tender_duration_days,2.10453352618
10112726000,2026,Muchlasin,UNIT PENGELOLA JAKARTA SMART CITY - 2.16.2.20.0.00.01.0007,Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.74043235898,638,contract_to_hps_ratio,3.35736351952,savings_to_hps_ratio,3.35736351952,procurement_type_code,3
10021449000,2025,PT Enera Teknika Utama,PUSAT PELATIHAN KERJA KHUSUS PENGEMBANGAN LAS - 2.07.3.32.3.29.01.0012,Tender,Pekerjaan Konstruksi,false,train,2.73764591082,639,procurement_type_code,5,log_contract_value,2.58081813932,log_hps,2.41998723268
10033628000,2025,PT. PRADIPTHA ARGHA CIPTHA,SUKU DINAS KESEHATAN KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 1.02.0.00.0.00.01.0006,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2.73715692455,640,hps_to_pagu_ratio,6.9737721696,work_unit_supplier_hhi_prior_package_count_year,3.3724537986,evaluation_duration_days,1.5866734034
